Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2019,2019 Annual,Adverse Childhood Experiences,California,1,14.8,-1.52,17.8,11.9,"U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB), Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health",2016-2017
2019,2019 Annual,Air Pollution,California,50,12.8,2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
2019,2019 Annual,All Determinants,California,16,0.272,0.272,,,America's Health Rankings composite measure,2019
2019,2019 Annual,All Outcomes,California,12,0.127,0.127,,,America's Health Rankings composite measure,2019
2019,2019 Annual,Behaviors,California,2,0.2,0.2,,,America's Health Rankings composite measure,2019
2019,2019 Annual,Below poverty threshold,California,34,11.1,0.46,,,AHR data,
2019,2019 Annual,Cancer Deaths,California,5,168.9,-1.13,169.7,168.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - American Indian/Alaska Native,California,,92.1,,97.4,86.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Asian/Pacific Islander,California,,123.3,,124.9,121.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Black/African American,California,,208.6,,212.2,205.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Crude Rate,California,5,154.6,-1.16,155.3,153.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Female,California,5,147,,148,146,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Hispanic/Latino,California,,136.4,,138,134.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Male,California,6,198.8,,200.1,197.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - Standard Age Adjustment,California,5,142.6,-1.13,143.3,142,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cancer Deaths - White,California,7,176.5,,177.4,175.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths,California,17,236.7,-0.59,237.6,235.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
2019,2019 Annual,Cardiovascular Deaths - American Indian/Alaska Native,California,,139,,145.9,132.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2015-2017
